Name;Year;Rating;Rating 10;Duration;Director;Watched Date;Tag Diario;Greatness;Top
Happy Death Day;2017;2;4,5;97;Christopher Landon;12/11/2017;;0;
Black Mirror: Metalhead;2017;1,5;3,0;41;David Slade;29/12/2017;;0;
Black Mirror: Arkangel;2017;1,5;3,0;52;Jodie Foster;29/12/2017;c:c;0;
Black Mirror: Crocodile;2017;3;6,0;59;John Hillcoat;30/12/2017;;0;
Black Mirror: Black Museum;2017;2,5;5,0;69;Colm McCarthy;30/12/2017;;0;
Black Mirror: Hang the DJ;2017;3;6,5;51;Tim Van Patten;31/12/2017;c:a;0;
Black Mirror: USS Callister;2017;1,5;3,0;76;Toby Haynes;02/01/2018;;0;
Trainspotting;1996;2,5;5,0;94;Danny Boyle;23/01/2018;;0;
Sono tornato;2018;2;4,0;100;Luca Miniero;03/02/2018;c:k, c:l;0;
Gravity;2013;3;6,0;91;Alfonso Cuar�n;23/02/2018;c:a;0;
Darkest Hour;2017;2,5;5,0;125;Joe Wright;26/02/2018;;0;
Get Out;2017;3;6,5;104;Jordan Peele;27/02/2018;c:c;0;
Three Billboards Outside Ebbing, Missouri;2017;2,5;5,0;105;Martin McDonagh;01/03/2018;c:c;0;
Her;2013;3;6,5;126;Spike Jonze;03/03/2018;;0;
Memento;2000;3,5;7,0;113;Christopher Nolan;31/03/2018;c:r;0;
The Shape of Water;2017;2;4,0;123;Guillermo Del Toro;01/04/2018;c:a;0;
Black Mirror: Shut Up and Dance;2016;3;6,0;52;James Watkins;02/04/2018;c:r;0;
Oldboy;2003;3,5;7,5;120;Park Chan-wook;24/04/2018;c:p;1;
The Royal Tenenbaums;2001;3,5;7,5;110;Wes Anderson;25/04/2018;c:c;1;
The Life Aquatic with Steve Zissou;2004;2,5;5,0;119;Wes Anderson;26/04/2018;c:a;0;
The Grand Budapest Hotel;2014;3,5;7,0;100;Wes Anderson;02/05/2018;c:a;0;
Loro 1;2018;3;6,0;104;Paolo Sorrentino;27/06/2018;c:a;0;
Game Night;2018;2,5;5,0;100;John Francis Daley, Jonathan M. Goldstein;01/07/2018;;0;
The House by the Sea;2017;3;6,0;107;Robert Gu�diguian;02/07/2018;c:r;0;
Little Miss Sunshine;2006;2,5;5,0;102;Jonathan Dayton, Valerie Faris;02/07/2018;;0;
Moana;2016;2,5;5,0;107;Ron Clements, John Musker;03/07/2018;;0;
La La Land;2016;3,5;7,0;129;Damien Chazelle;05/07/2018;;0;
Dinner for Schmucks;2010;1,5;3,5;114;Jay Roach;05/07/2018;c:c;0;
The Arrival of a Train at La Ciotat;1896;4,5;9,0;1;Louis Lumi�re, Auguste Lumi�re ;06/12/2018;;1;250
